Hiragana,Romaji,Kanji,English_Meaning,Example
あらわす,arawasu,表す,to express;to show;to reveal,表す…あらわす
あらわす,arawasu,現す,to show;to indicate;to display,現す…あらわす
あらわす,arawasu,著す,to write;to publish,著す…あらわす
あらわれ,araware,現われ,embodiment;materialization,現われ…あらわれ
あらわれる,arawareru,現われる,to appear;to come in sight;to become visible;to come out;to embody;to materialize;to express oneself,現われる…あらわれる
ありがたい,arigatai,有難い,grateful;thankful,有難い…ありがたい
ありがとう,arigatou,有難う,Thank you,有難う…ありがとう
ありさま,arisama,有様,state;condition;circumstances;the way things are or should be;truth,有様…ありさま
ありのまま,arinomama,有りのまま,the truth;fact;as it is;frankly,有りのまま…ありのまま
ある,aru,或る,a certain...;some...,或る…ある
ある,aru,有る,to be;to have,有る…ある
ある,aru,在る,to live;to be,在る…ある
あるいは,aruiha,或いは,or;possibly,或いは…あるいは
あるく,aruku,歩く,to walk,歩く…あるく
あるじ,aruji,主,master;head (of a household);landlord;one's husband;employer;host,主…あるじ
あるじ,aruji,主,master;head (of a household);landlord;one's husband;employer;host,主…あるじ
あるじ,aruji,主人,master;head (of a household);landlord;one's husband;employer;host,主人…あるじ
あれ,are,,1.  that;that thing; 2.  (X) (col) genitals; 3.  menses,…あれ
あれこれ,arekore,彼此,one thing or another;this and that;this or that,彼此…あれこれ
あれる,areru,荒れる,to be stormy;to be rough;to lose one's temper,荒れる…あれる
あわ,awa,泡,bubble;foam;froth;head on beer,泡…あわ
あわす,awasu,合わす,to join together;to face;to unite;to be opposite;to combine;to connect;to add up;to mix;to match;to overlap;to compare;to check with,合わす…あわす
あわせ,awase,合わせ,joint together;opposite;facing,合わせ…あわせ
あわせる,awaseru,合わせる,to join together;to be opposite;to face;to unite;to combine;to connect;to add up;to mix;to match;to overlap;to compare;to check with,合わせる…あわせる
あわただしい,awatadashii,慌ただしい,busy;hurried;confused;flurried,慌ただしい…あわただしい
あわてる,awateru,慌てる,to become confused (disconcerted  disorganized),慌てる…あわてる
あわれ,aware,哀れ,helpless;pathos;pity;sorrow;grief;misery;compassion,哀れ…あわれ
あん,an,案,plan;suffix meaning draft,案…あん
あんい,ani,安易,easy-going,安易…あんい
あんがい,angai,案外,unexpectedly,案外…あんがい
あんき,anki,暗記,memorization;learning by heart,暗記…あんき
あんさつ,ansatsu,暗殺,assassination,暗殺…あんさつ
あんざん,anzan,暗算,mental arithmetic,暗算…あんざん
あんしん,anshin,安心,relief;peace of mind,安心…あんしん
あんじ,anji,暗示,hint;suggestion,暗示…あんじ
あんじる,anjiru,案じる,to be anxious;to ponder,案じる…あんじる
あんせい,ansei,安静,rest,安静…あんせい
あんぜん,anzen,安全,safety;security,安全…あんぜん
あんてい,antei,安定,stability;equilibrium,安定…あんてい
あんな,anna,,such;so;that;sort of,…あんな
あんない,annai,案内,information;guidance;leading,案内…あんない
あんのじょう,annojyou,案の定,sure enough;as usual,案の定…あんのじょう
あんまり,anmari,余り,not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much,余り…あんまり
い,i,依,depending on,依…い
い,i,依,depending on,依…い
い,i,胃,stomach,胃…い
いい,ii,良い,good,良い…いい
いい,ii,伊井,that one;Italy,伊井…いい
いいえ,iie,否,no;nay;yes;well,否…いいえ
いいえ,iie,否,no;nay;yes;well,否…いいえ
いいかげん,iikagen,いい加減,moderate;right;random;not thorough;vague;irresponsible;halfhearted,いい加減…いいかげん
いいだす,iidasu,言い出す,to start talking;to speak;to tell;to propose;to suggest;to break the ice,言い出す…いいだす
いいつける,iitsukeru,言い付ける,to tell;to tell on (someone);to order;to charge;to direct,言い付ける…いいつける
いいわけ,iiwake,言い訳,excuse;explanation,言い訳…いいわけ
いいん,iin,医院,doctor's office (surgery);clinic;dispensary,医院…いいん
いいん,iin,委員,committee member,委員…いいん
いう,iu,言う,to say,言う…いう
いえ,ie,家,house,家…いえ
いえ,ie,家,house,家…いえ
いえ,ie,家,house,家…いえ
いえ,ie,家,house,家…いえ
いえで,iede,家出,running away from home;leaving home,家出…いえで
いえぬし,ienushi,家主,landlord,家主…いえぬし
いか,ika,以下,less than;up to;below;under;and downward;not exceeding;the following;the rest,以下…いか
いかが,ikaga,如何,how;in what way,如何…いかが
いかす,ikasu,生かす,to revive;to resuscitate;to make use of,生かす…いかす
いかずち,ikazuchi,雷,thunder,雷…いかずち
いかに,ikani,如何に,how?;in what way?;how much?;however;whatever,如何に…いかに
いかにも,ikanimo,如何にも,indeed;really;phrase meaning agreement,如何にも…いかにも
いかり,ikari,怒り,anger;hatred,怒り…いかり
いかる,ikaru,怒る,to get angry;to be angry,怒る…いかる
いがい,igai,以外,with the exception of;excepting,以外…いがい
いがい,igai,意外,unexpected;surprising,意外…いがい
いがく,igaku,医学,medical science;medicine,医学…いがく
いがむ,igamu,歪む,to warp;to swerve;to deflect;to be crooked;to be distorted;to be bent;to incline;to slant;to be perverted;to be gross-grained;to get bent;to be strained,歪む…いがむ
いがむ,igamu,歪む,to warp;to swerve;to deflect;to be crooked;to be distorted;to be bent;to incline;to slant;to be perverted;to be gross-grained;to get bent;to be strained,歪む…いがむ
いき,iki,粋,chic;style;purity;essence,粋…いき
いき,iki,粋,chic;style;purity;essence,粋…いき
いき,iki,息,breath;tone,息…いき
いき,iki,行き,going,行き…いき
いきいき,ikiiki,生き生き,vividly;lively,生き生き…いきいき
いきおい,ikioi,勢い,force;vigor;energy;spirit;life;authority;influence;power;might;impetus;course (of events);tendency;necessarily,勢い…いきおい
いきがい,ikigai,域外,outside the area,域外…いきがい
いきごむ,ikigomu,意気込む,to be enthusiastic about,意気込む…いきごむ
いきさつ,ikisatsu,経緯,1.  details;whole story;sequence of events;particulars;how it started;how things got this way; 2.  complications;position,経緯…いきさつ
いきちがい,ikichigai,行き違い,misunderstanding;estrangement;disagreement;crossing without meeting;going astray,行き違い…いきちがい
いきなり,ikinari,行き成り,suddenly,行き成り…いきなり
いきもの,ikimono,生き物,living thing;animal,生き物…いきもの
いきる,ikiru,生きる,to live;to exist,生きる…いきる
いぎ,igi,異議,objection;dissent;protest,異議…いぎ
いぎ,igi,意義,meaning;significance,意義…いぎ
いく,iku,,to come;to orgasm,…いく
いく,iku,行く,to go,行く…いく
いくさ,ikusa,軍,war;battle;campaign;fight,軍…いくさ
いくさ,ikusa,戦,war;battle;campaign;fight,戦…いくさ
いくじ,ikuji,育児,childcare;nursing;upbringing,育児…いくじ
いくせい,ikusei,育成,rearing;training;nurture;cultivation;promotion,育成…いくせい
いくた,ikuta,幾多,many;numerous,幾多…いくた
いくつ,ikutsu,幾つ,how many?;how old?,幾つ…いくつ
いくぶん,ikubun,幾分,somewhat,幾分…いくぶん
いくら,ikura,幾ら,how much?;how many?,幾ら…いくら
いけ,ike,池,pond,池…いけ
いけない,ikenai,,must not do;bad;wrong;not good,…いけない
いけばな,ikebana,生け花,1.  flower arrangement,生け花…いけばな
いける,ikeru,活ける,to arrange (flowers),活ける…いける
いけん,iken,異見,different opinion;objection,異見…いけん
いけん,iken,意見,opinion;view,意見…いけん
いこう,ikou,意向,intention;idea;inclination,意向…いこう
いこう,ikou,移行,switching over to,移行…いこう
いこう,ikou,以降,on and after;hereafter;thereafter,以降…いこう
いご,igo,以後,after this;from now on;hereafter;thereafter,以後…いご
いさましい,isamashii,勇ましい,brave;valiant;gallant;courageous,勇ましい…いさましい
いざ,iza,,now;come (now);well;crucial moment,…いざ
いし,ishi,石,stone,石…いし
いし,ishi,医師,doctor;physician,医師…いし
いし,ishi,意思,intention;purpose,意思…いし
いし,ishi,意志,will;volition,意志…いし
いしき,ishiki,意識,consciousness;senses,意識…いしき
いしぶみ,ishibumi,碑,stone monument bearing an inscription,碑…いしぶみ
いしゃ,isha,医者,doctor (medical),医者…いしゃ
いしょう,ishou,衣装,clothing;costume;outfit;garment;dress,衣装…いしょう
いしょくじゅう,ishokujyuu,衣食住,necessities of life (food  clothing  etc.),衣食住…いしょくじゅう
いじ,iji,意地,disposition;spirit;willpower;obstinacy;backbone;appetite,意地…いじ
いじ,iji,維持,maintenance;preservation,維持…いじ
いじめる,ijimeru,苛める,to tease;to torment;to persecute;to chastise,苛める…いじめる
いじゅう,ijyuu,移住,migration;immigration,移住…いじゅう
いじょう,ijyou,以上,more than;exceeding;greater than;this is all;over;above;and up;beyond;the above-mentioned;since;as long as;the end,以上…いじょう
いじょう,ijyou,異常,strangeness;abnormality;disorder,異常…いじょう
いじる,ijiru,弄る,to touch;to tamper with,弄る…いじる
いじわる,ijiwaru,意地悪,malicious;ill-tempered;unkind,意地悪…いじわる
いす,isu,椅子,chair,椅子…いす
いずみ,izumi,泉,spring;fountain,泉…いずみ
いずれ,izure,何れ,where;which;who;anyway;anyhow;at any rate,何れ…いずれ
いせい,isei,異性,the opposite sex,異性…いせい
いせき,iseki,遺跡,historic ruins (remains  relics),遺跡…いせき
いぜん,izen,依然,still;as yet,依然…いぜん
いぜん,izen,以前,ago;since;before;previous,以前…いぜん
いそがしい,isogashii,忙しい,busy;irritated,忙しい…いそがしい
いそぐ,isogu,急ぐ,to hurry;to rush,急ぐ…いそぐ
いそん,ison,依存,dependence;dependent;reliance,依存…いそん
いた,ita,板,board;plank,板…いた
いたい,itai,痛い,painful,痛い…いたい
いたく,itaku,委託,consign (goods (for sale) to a firm);entrust (person with something);commit,委託…いたく
いたす,itasu,致す,to do,致す…いたす
いたずら,itazura,悪戯,tease;prank;trick;practical joke;mischief,悪戯…いたずら
いただき,itadaki,頂,(top of) head;summit;spire,頂…いただき
いただきます,itadakimasu,戴きます,expression of gratitude before meals,戴きます…いただきます
いただく,itadaku,頂く,to receive;to take food or drink (hum);to be crowned with;to wear;to live under (a ruler);to install (a president);to accept;to buy;to take,頂く…いただく
いたって,itate,至って,very much;exceedingly;extremely,至って…いたって
いたみ,itami,痛み,pain;ache;sore;grief;distress,痛み…いたみ
いたむ,itamu,痛む,to hurt;to feel a pain;to be injured,痛む…いたむ
いためる,itameru,痛める,to hurt;to injure;to cause pain;to worry;to bother;to afflict;to be grieved over,痛める…いためる
いためる,itameru,炒める,to stir-fry,炒める…いためる
いたる,itaru,至る,to come;to arrive,至る…いたる
いたわる,itawaru,労る,to pity;to sympathize with;to console;to care for;to be kind to,労る…いたわる
いだい,idai,偉大,greatness,偉大…いだい
いだく,idaku,抱く,to embrace;to hug;to harbour;to entertain;`to sleep with',抱く…いだく
いだく,idaku,抱く,to embrace;to hug;to harbour;to entertain;`to sleep with',抱く…いだく
いち,ichi,市,market;fair,市…いち
いち,ichi,一,(num) one,一…いち
いち,ichi,位地,place;situation;position;location,位地…いち
いち,ichi,位置,place;situation;position;location,位置…いち
いち,ichi,市,market;fair,市…いち
いち,ichi,一,(num) one,一…いち
いちいち,ichiichi,一々,one by one;separately,一々…いちいち
いちおう,ichiou,一応,once;tentatively;in outline;for the time being,一応…いちおう
いちがいに,ichigaini,一概に,unconditionally;as a rule,一概に…いちがいに
いちげん,ichigen,一見,unfamiliar;never before met,一見…いちげん
いちげん,ichigen,一言,single word,一言…いちげん
いちじ,ichiji,一時,one hour;short time;once;a time;temporarily;at one time;twelfth part of a day,一時…いちじ
いちじつ,ichijitsu,一日,1.  one day; 2.  first of month,一日…いちじつ
いちじょう,ichijyou,一定,fixed;settled;definite;uniform;regularized;defined;standardized;certain;prescribed,一定…いちじょう
いちじるしい,ichijirushii,著しい,remarkable;considerable,著しい…いちじるしい
いちだんと,ichidanto,一段と,greater;more;further;still more,一段と…いちだんと
いちど,ichido,一度,once;one time;on one occasion,一度…いちど
いちどう,ichidou,一同,all present;all concerned;all of us,一同…いちどう
いちどに,ichidoni,一度に,all at once,一度に…いちどに
いちにん,ichinin,一人,one person,一人…いちにん
いちば,ichiba,市場,(town) market;marketplace;market,市場…いちば
いちば,ichiba,市場,(town) market;marketplace;market,市場…いちば
いちばん,ichiban,一番,best;first;number one;a game;a round;a bout;a fall;an event (in a meet),一番…いちばん
いちぶ,ichibu,一部,1.  one copy  e.g. of a document; 2.  a part;partly;some,一部…いちぶ
いちぶぶん,ichibubun,一部分,a part,一部分…いちぶぶん
いちべつ,ichibetsu,一別,parting,一別…いちべつ
いちめん,ichimen,一面,one side;one phase;front page;the other hand;the whole surface,一面…いちめん
いちもく,ichimoku,一目,a glance;a look;a glimpse,一目…いちもく
いちよう,ichiyou,一様,uniformity;evenness;similarity;equality;impartiality,一様…いちよう
いちりつ,ichiritsu,一律,evenness;uniformity;monotony;equality,一律…いちりつ
いちりゅう,ichiryuu,一流,first class;top grade;school (of art);foremost;top-notch;unique,一流…いちりゅう
いちれん,ichiren,一連,a series;a chain;a ream (of paper),一連…いちれん
いっか,ika,一家,a house;a home;a family;a household;one's family;one's folks;a style,一家…いっか
いっかつ,ikkatsu,一括,all together;batch;one lump;one bundle;summing up,一括…いっかつ
いっき,iki,一気,drink!(said repeatedly as a party cheer),一気…いっき
いっきょに,ikyoni,一挙に,at a stroke;with a single swoop,一挙に…いっきょに
いっさい,issai,一切,all;everything;without exception;the whole;entirely;absolutely,一切…いっさい
いっさくじつ,issakujitsu,一昨日,day before yesterday,一昨日…いっさくじつ
いっさくねん,issakunen,一昨年,year before last,一昨年…いっさくねん
いっしゅ,ishu,一種,a species;a kind;a variety,一種…いっしゅ
